id_episode;episode;id_season
C_1_1;An Unearthly Child;C_1
C_1_2;The Daleks;C_1
C_1_3;The Edge of Destruction;C_1
C_1_4;Marco Polo;C_1
C_1_5;The Keys of Marinus;C_1
C_1_6;The Aztecs;C_1
C_1_7;The Sensorites;C_1
C_1_8;The Reign of Terror;C_1
C_2_1;Planet of Giants;C_2
C_2_2;The Dalek Invasion of Earth;C_2
C_2_3;The Rescue;C_2
C_2_4;The Romans;C_2
C_2_5;The Web Planet;C_2
C_2_6;The Crusade;C_2
C_2_7;The Space Museum;C_2
C_2_8;The Chase;C_2
C_2_9;The Time Meddler;C_2
C_3_1;Galaxy 4;C_3
C_3_2;Mission to the Unknown;C_3
C_3_3;The Myth Makers;C_3
C_3_4;The Daleks' Master Plan;C_3
C_3_5;The Massacre;C_3
C_3_6;The Ark;C_3
C_3_7;The Celestial Toymaker;C_3
C_3_8;The Gunfighters;C_3
C_3_9;The Savages;C_3
C_3_10;The War Machines;C_3
C_4_1;The Smugglers;C_4
C_4_2;The Tenth Planet;C_4
C_4_3;The Power of the Daleks;C_4
C_4_4;The Highlanders;C_4
C_4_5;The Underwater Menace;C_4
C_4_6;The Moonbase;C_4
C_4_7;The Macra Terror;C_4
C_4_8;The Faceless Ones;C_4
C_4_9;The Evil of the Daleks;C_4
C_5_1;The Tomb of the Cybermen;C_5
C_5_2;The Abominable Snowmen;C_5
C_5_3;The Ice Warriors;C_5
C_5_4;The Enemy of the World;C_5
C_5_5;The Web of Fear;C_5
C_5_6;Fury from the Deep;C_5
C_5_7;The Wheel in Space;C_5
C_6_1;The Dominators;C_6
C_6_2;The Mind Robber;C_6
C_6_3;The Invasion;C_6
C_6_4;The Krotons;C_6
C_6_5;The Seeds of Death;C_6
C_6_6;The Space Pirates;C_6
C_6_7;The War Games;C_6
C_7_1;Spearhead from Space;C_7
C_7_2;Doctor Who and the Silurians;C_7
C_7_3;The Ambassadors of Death;C_7
C_7_4;Inferno;C_7
C_8_1;Terror of the Autons;C_8
C_8_2;The Mind of Evil;C_8
C_8_3;The Claws of Axos;C_8
C_8_4;Colony in Space;C_8
C_8_5;The Dæmons;C_8
C_9_1;Day of the Daleks;C_9
C_9_2;The Curse of Peladon;C_9
C_9_3;The Sea Devils;C_9
C_9_4;The Mutants;C_9
C_9_5;The Time Monster;C_9
C_10_1;The Three Doctors;C_10
C_10_2;Carnival of Monsters;C_10
C_10_3;Frontier in Space;C_10
C_10_4;Planet of the Daleks;C_10
C_10_5;The Green Death;C_10
C_11_1;The Time Warrior;C_11
C_11_2;Invasion of the Dinosaurs;C_11
C_11_3;Death to the Daleks;C_11
C_11_4;The Monster of Peladon;C_11
C_11_5;Planet of the Spiders;C_11
C_12_1;Robot;C_12
C_12_2;The Ark in Space;C_12
C_12_3;The Sontaran Experiment;C_12
C_12_4;Genesis of the Daleks;C_12
C_12_5;Revenge of the Cybermen;C_12
C_13_1;Terror of the Zygons;C_13
C_13_2;Planet of Evil;C_13
C_13_3;Pyramids of Mars;C_13
C_13_4;The Android Invasion;C_13
C_13_5;The Brain of Morbius;C_13
C_13_6;The Seeds of Doom;C_13
C_14_1;The Masque of Mandragora;C_14
C_14_2;The Hand of Fear;C_14
C_14_3;The Deadly Assassin;C_14
C_14_4;The Face of Evil;C_14
C_14_5;The Robots of Death;C_14
C_14_6;The Talons of Weng-Chiang;C_14
C_15_1;Horror of Fang Rock;C_15
C_15_2;The Invisible Enemy;C_15
C_15_3;Image of the Fendahl;C_15
C_15_4;The Sun Makers;C_15
C_15_5;Underworld;C_15
C_15_6;The Invasion of Time;C_15
C_16_1;The Ribos Operation;C_16
C_16_2;The Pirate Planet;C_16
C_16_3;The Stones of Blood;C_16
C_16_4;The Androids of Tara;C_16
