id_season;season;id_option
C_1;Season 1;C
C_2;Season 2;C
C_3;Season 3;C
C_4;Season 4;C
C_5;Season 5;C
C_6;Season 6;C
C_7;Season 7;C
C_8;Season 8;C
C_9;Season 9;C
C_10;Season 10;C
C_11;Season 11;C
C_12;Season 12;C
C_13;Season 13;C
C_14;Season 14;C
C_15;Season 15;C
C_16;Season 16: The Key to Time;C
C_17;Season 17;C
C_18;Season 18;C
C_19;Season 19;C
C_20;Season 20;C
C_21;Season 21;C
C_22;Season 22;C
C_23;Season 23: The Trial of a Time Lord;C
C_24;Season 24;C
C_25;Season 25;C
C_26;Season 26;C
C_M;Doctor Who: The Movie;C
M_1;Series 1;M
M_2;Series 2;M
M_3;Series 3;M
M_4;Series 4;M
M_5;Series 5;M
M_6;Series 6;M
M_7;Series 7;M
M_50;50th Anniversary Specials;M
M_8;Series 8;M
M_9;Series 9;M
M_10;Series 10;M
M_11;Series 11;M
M_12;Series 12;M
M_13;Series 13: Flux;M
M_60;60th Anniversary Specials;M
M_14;Series 14;M
AW_1;Volume One: Only the Monstrous;AW
AW_2;Volume Two: Infernal Devices;AW
AW_3;Volume Three: Agents of Chaos;AW
AW_4;Volume Four: Casualties of War;AW
AWB_1;Volume One: Forged in Fire;AWB
AWB_2;Volume Two: Warbringer;AWB
AWB_3;Volume Three: Battlegrounds;AWB
AWB_4;Volume Four: He Who Fights With Monsters;AWB
AWB_5;Volume Five: Comrades-in-Arms;AWB
AWB_6;Volume Six: Enemy Mine;AWB
A9_11;Volume 1.1: Ravagers;A9
A9_12;Volume 1.2: Respond to All Calls;A9
A9_13;Volume 1.3: Lost Warriors;A9
A9_14;Volume 1.4: Old Friends;A9
A9_21;Volume 2.1: Back to Earth;A9
A9_22;Volume 2.2: Into the Stars;A9
A9_23;Volume 2.3: Hidden Depths;A9
A9_24;Volume 2.4: Shades of Fear;A9
A9_31;Volume 3.1: Pioneers;A9
A9_32;Volume 3.2: Travel in Hope;A9
A9_33;Volume 3.3;A9
A9_34;Volume 3.4;A9
A9_C;The Ninth Doctor Chronicles;A9
A10_1;Volume One;A10
A10_2;Volume Two;A10
A10_3;Volume Three;A10
A10_DU;Dalek Universe;A10
A10_OT;Out of Time;A10
A10_RS;The Tenth Doctor and River Song;A10
A10_CC;Tenth Doctor Classic Companions;A10
A10_C;The Tenth Doctor Chronicles;A10
A10_T;Tenth Doctor Tales;A10
A11_1;Volume One;A11
A11_2;Volume Two;A11
A11_3;Volume Three: Geronimo!;A11
A11_4;Volume Four: All of Time and Space;A11
A11_5;Volume Five: Everywhere and Anywhere;A11
A11_6;Volume Six ;A11
A12_1;Volume One;A12
A12_2;Volume Two: Timejacked!;A12
A50_1;50th Anniversary Releases;A50
A60_1;60th Anniversary Releases;A60
DWM_9;Ninth Doctor;DWM
DWM_10;Tenth Doctor;DWM
DWM_11;Eleventh Doctor;DWM
DWM_12;Twelfth Doctor;DWM
DWM_13;Thirteenth Doctor;DWM
DWM_14;Fourteenth Doctor;DWM
T_C;Classic Doctors;T
T_9;Ninth Doctor;T
T_101;Tenth Doctor: Year One;T
T_102;Tenth Doctor: Year Two;T
T_103;Tenth Doctor: Facing Fate;T
T_111;Eleventh Doctor: Year One;T
T_112;Eleventh Doctor: Year Two;T
T_113;Eleventh Doctor: The Sapling;T
T_121;Twelfth Doctor: Year One;T
T_122;Twelfth Doctor: Year Two;T
T_123;Twelfth Doctor: Time Trials;T
T_131;Thirteenth Doctor: Year One;T
T_132;Thirteenth Doctor: A Tale of Two Time Lords;T
T_E;Multi-Doctor Events & Others;T
N_9;Ninth Doctor;N
N_10;Tenth Doctor;N
N_11;Eleventh Doctor;N
N_12;Twelfth Doctor;N
N_13;Thirteenth Doctor;N
N_O;Other Novels;N
N_DD;Decide Your Destiny;N
N_CF;Choose the Future;N
N_DL;The Darksmith Legacy;N
N_Q;Quick Reads;N
N_B;Chapter Books (2 in 1 Series);N
N_A;Anthologies;N
N_S;Six stories for six decades;N
TW_1;Series 1;TW
TW_2;Series 2;TW
TW_3;Series 3: Children of Earth;TW
TW_4;Series 4: Miracle Day;TW
SJA_1;Series 1;SJA
SJA_2;Series 2;SJA
SJA_3;Series 3;SJA
SJA_4;Series 4;SJA
SJA_5;Series 5;SJA
CL_1;Series 1;CL
TLV_1;The Fractured Universe;TLV
TLV_2;The Dark Times;TLV
TLV_3;The Victorious Days;TLV
K9_0;K9 and Company;K9
K9_1;Series 1;K9
DK_1;Series 1;DK
DD_1;Doom's Day;DD
